Name;Date;Place;Age;Contacts
Heyside Cricket Club Festival;Saturday 25th September 2021;Heyside Cricket Club in Oldham;No age restrictions;"Name: Heyside Cricket Club; Phone: 01706 847676; Capacity: 2000; Address: Little Hey Street, Royton, Oldham, OL2 6ND; Venue short url: https://www.skiddle.com/venues/104178/; Type of venue: Sports; "
Dot to Dot Festival;Saturday 25th - Sunday 26th September 2021;Various Venues in Nottingham;Minimum age: 14;"Name: Various Venues; Address: Various, Nottingham, NG1 5JT; Phone: -; Venue short url: https://www.skiddle.com/venues/25410/; Type of venue: Nightclub; "
Liverpool Sound City festival;Friday 1st - Sunday 3rd October 2021;Baltic Triangle in Liverpool;Minimum age: 14;"Name: Baltic Triangle; Phone: ; Venue short url: https://www.skiddle.com/venues/27782/; Address: Jamaica Street, Liverpool, L1 0BS; Website: http://baltictriangle.co.uk; Type of venue: Nightclub; "
Rezerection In The Park festival;Saturday 2nd October 2021;Leazes Park  in Newcastle Upon Tyne;Minimum age: 18;"Name: Leazes Park; Address: Unnamed Road Newcastle upon Tyne, England, Tyne And Wear, NE2 4BJ; Phone: ; Venue short url: https://www.skiddle.com/venues/104216/; Type of venue: Other; "
Inside Out festival;Saturday 2nd - Sunday 3rd October 2021;Bute Park in Cardiff;Minimum age: 18;"Name: Bute Park; Phone: 029 2087 2087; Venue short url: https://www.skiddle.com/venues/60155/; Parking: Pay and display car parking facilities are available nearby in Sophia Gardens (CF11 9LJ); Address: North Road, Cardiff, Cardiff, CF10 3DX; Website: http://bute-park.com/; Type of venue: Outdoors; Nearest Train Station: The West Gate entrance at the southern end of Bute Park is roughly 10 minutes walk from Cardiff Central station and 15 minutes walk from Cardiff Queen Street.; "
Let's Rock The Moor! festival;Saturday 2nd October 2021;Marsh Meadow in Maidenhead;Minimum age: 18;"Name: Marsh Meadow; Address: The Moor, Cookham, Maidenhead, SL6 9SB; Phone: ; Venue short url: https://www.skiddle.com/venues/76985/; Type of venue: Nightclub; "
Breakout Festival;Friday 8th - Sunday 10th October 2021;Esplanade Kirkcaldy KY1 in Kirkcaldy;No age restrictions;"Name:  Esplanade Kirkcaldy KY1; Phone: ; Capacity: 30,000; Address: Esplanade, Kirkcaldy, KY1 1HR; Venue short url: https://www.skiddle.com/venues/104727/; Type of venue: Outdoors; "
Clubland Live Weekender festival;Friday 8th - Sunday 10th October 2021;Norbreck Castle Hotel in  Blackpool;Minimum age: 18;"Name: Norbreck Castle Hotel; Phone: ; Capacity: 1500; Address: Queens Promenade, Blackpool, FY2 9AA; Venue short url: https://www.skiddle.com/venues/88662/; Type of venue: Hotel; "
Brixton Disco Festival;Saturday 9th October 2021;Multiple Venues Brixton in London;Minimum age: 18;"Name: Multiple Venues Brixton; Address: 1 Windrush Square, London, SW2 1EF; Phone: ; Venue short url: https://www.skiddle.com/venues/83286/; Type of venue: Nightclub; "
Whitby Blues, Rhythm & Rock Festival;Saturday 9th October 2021;Whitby Pavilion in Whitby;No age restrictions;"Name: Whitby Pavilion; Address: West Cliff, Whitby, YO21 3EN; Phone: 01947 603475; Venue short url: https://www.skiddle.com/venues/545/; Type of venue: Other; "
The Boogaloo Weekender festival;Friday 15th - Monday 18th October 2021;Pontings Camber Sands in Rye;Minimum age: 18;"Name: Pontings Camber Sands; Phone: 08446250119; Venue short url: https://www.skiddle.com/venues/103871/; Music Policy: House, Jazz, Funk, Soul, Breaks; Dress code: None; Opening hours: 12:00 PM; Food served: Yes; Parking: Ample parking; Nearest Train Station: 5 Minutes; Address: New Lydd Road, Camber, Rye, TN31 7RL; Website: http://www.boogalooweekender.co.uk; Capacity: 3500; Type of venue: Nightclub; Clientele: Over 30's; Drinks served: Yes; Disabled facilities: Yes; Nearest Bus Stop: 1 Minute; "
Cornwall Rocks festival;Friday 15th - Sunday 17th October 2021;Tencreek Holiday Park in Looe;Minimum age: 16;"Name: Tencreek Holiday Park; Phone: 01503 262 447; Venue short url: https://www.skiddle.com/venues/96432/; Type of venue: Other; Drinks served: Yes; Parking: Large free car park; Address: Polperro Road, Looe, PL13 2JR; Website: https://www.dolphinholidays.co.uk/cornwall-caravan-holiday-park/; Capacity: 350; Dress code: Casual but smart; Food served: Yes; "
RE-LIVE FEST festival;Saturday 23rd October 2021;The Thainstone Exchange in Inverurie;Minimum age: 18;"Name: The Thainstone Exchange; Phone: 01467 623760; Venue short url: https://www.skiddle.com/venues/94229/; Type of venue: Exhibition Centre; Address:  Thainstone Business Centre, Inverurie, AB51 5XZ; Website: https://thainstoneevents.co.uk/; Capacity: 1000; "
Hit the North festival;Saturday 23rd October 2021;Various Venues in Newcastle;Minimum age: 18;"Name: Various Venues; Address: Throughout Newcastle Co. Down, Newcastle, BT33 0EU; Phone: 07546838137; Venue short url: https://www.skiddle.com/venues/24484/; Type of venue: Live; "
Halloween Town Festival;Friday 29th - Sunday 31st October 2021;Halloween Town Festival   The Great Meadow in Bedford;Minimum age: 18;"Name: Halloween Town Festival   The Great Meadow; Phone: ; Venue short url: https://www.skiddle.com/venues/104717/; Type of venue: Nightclub; Address:  St. Neots Road Renhold, Bedford, MK41, Bedford, MK41 0JE; Website: http://www.halloweentownfestival.com; Capacity: 6000; "
Forbidden 42 Halloween FestEVIL festival;Saturday 30th October 2021;East Of England Arena And Events Centre in Alwalton;Minimum age: 18;"Name: East Of England Arena And Events Centre; Address: East of England Showground Oundle Road, Alwalton, PE2 6XE; Phone: ; Venue short url: https://www.skiddle.com/venues/95211/; Type of venue: Nightclub; "
Terminal V Festival Halloween 2021;Saturday 30th - Sunday 31st October 2021;Royal Highland Centre in Edinburgh;Minimum age: 18;"Name: Royal Highland Centre; Phone: 0131 335 6207; Capacity: 5000-20000; Address: Inlgiston, Edinburgh, EH28 8NB; Venue short url: https://www.skiddle.com/venues/8464/; Type of venue: Other; "
EH6 Festival;Friday 26th - Sunday 28th November 2021;The Biscuit Factory in Edinburgh;Minimum age: 14;"Name: The Biscuit Factory; Phone: 0131 629 0809; Capacity: 550; Opening hours: 19:00 pm; Food served: Yes; Address: 4-6, Anderson Pl, Edinburgh, EH6 5NP; Venue short url: https://www.skiddle.com/venues/65325/; Type of venue: Live; Drinks served: Yes; "
90s Playtime festival;Friday 15th April 2022;Garon Park in Southend-On-Sea;Minimum age: 18;"Name: Garon Park; Phone: 07968 779950; Venue short url: https://www.skiddle.com/venues/44340/; Music Policy: All kinds; Ambiance: Yes; Clientele: All ages ; Drinks served: Yes ; Disabled facilities: Yes; Nearest Bus Stop: Cluny square; Address:  Eastern Avenue, Southend-on-Sea, SS2 4FA, Southend-On-Sea, SS2 4FA; Website: https://www.facebook.com/intheparkconcerts/?ref=settings; Capacity: 10,000; Type of venue: Outdoors; Dress code: none; Opening hours: 11am till 11.30pm; Food served: Yes; Parking: 2 large free car parks; Nearest Train Station: Prittlewell; "
Tropicana Nights Festival 2021;Saturday 16th April 2022;Garon Park in Southend-On-Sea;No age restrictions;"Name: Garon Park; Phone: 07968 779950; Venue short url: https://www.skiddle.com/venues/44340/; Music Policy: All kinds; Ambiance: Yes; Clientele: All ages ; Drinks served: Yes ; Disabled facilities: Yes; Nearest Bus Stop: Cluny square; Address:  Eastern Avenue, Southend-on-Sea, SS2 4FA, Southend-On-Sea, SS2 4FA; Website: https://www.facebook.com/intheparkconcerts/?ref=settings; Capacity: 10,000; Type of venue: Outdoors; Dress code: none; Opening hours: 11am till 11.30pm; Food served: Yes; Parking: 2 large free car parks; Nearest Train Station: Prittlewell; "
Connected Festival;Saturday 30th April - Sunday 1st May 2022;Lydd Airport in Romney Marsh;Minimum age: 18;"Name: Lydd Airport; Phone: 07784380461; Venue short url: https://www.skiddle.com/venues/96513/; Music Policy: Drum & Bass, Garage, Jungle, House, Club Classics, Anthems, Old School, Kisstory, R&B, Hip-Hop; Dress code: Festival; Opening hours: 10:00-01:00; Food served: Yes; Parking: Paid Parking; Nearest Train Station: Ashford; Address:  Lydd Airport Lydd, Romney Marsh, TN29 9QL, Romney Marsh, TN29 9QL; Website: http://connectedfestival.com; Capacity: 9999; Type of venue: Outdoors; Clientele: 18-55; Drinks served: Yes; Disabled facilities: Yes; Nearest Bus Stop: On Site Bus and Coach Provision; "
Land Beyond Festival;Sunday 1st May 2022;Wild Park in Brighton;Minimum age: 18;"Name: Wild Park; Address: Lewes Road , Brighton, BN1 9JJ; Phone: 01273 701152; Venue short url: https://www.skiddle.com/venues/12568/; Type of venue: Outdoors; "
Big North Tattoo Show festival;Saturday 7th - Sunday 8th May 2022;Utilita Arena in Newcastle Upon Tyne;No age restrictions;"Name: Utilita Arena; Address: Arena Way, Newcastle Upon Tyne, NE4 7NA; Phone: 0844 493 6666; Venue short url: https://www.skiddle.com/venues/93170/; Type of venue: Nightclub; "
Midstock Festival;Friday 27th - Saturday 28th May 2022;Dalkeith Country Park in Edinburgh;No age restrictions;"Name: Dalkeith Country Park; Address: Dalkeith, Edinburgh, Edinburgh, EH22 2NJ; Phone: 0131 663 5684; Venue short url: https://www.skiddle.com/venues/43886/; Type of venue: Outdoors; "
Leestock Music Festival;Friday 3rd - Saturday 4th June 2022;Melford Hall in Suffolk;No age restrictions;"Name: Melford Hall; Address: Long Melford, Sudbury, Suffolk, CO10 9AA; Phone: 00000000000; Venue short url: https://www.skiddle.com/venues/38828/; Type of venue: Outdoors; "
Junction 2 festival;Friday 3rd - Saturday 4th June 2022;Boston Manor Park in Brentford;Minimum age: 18;"Name: Boston Manor Park; Phone: 0208 992 1626; Capacity: 7500; Type of venue: Outdoors; Clientele: People from the Southern Hemisphere, or people interested in visiting the Southern Hemisphere. Basically - anybody!; Drinks served: Southern Hemisphere Wine, Beer, cold drinks, cocktails and coffee; Disabled facilities: yes, including toilets; Nearest Bus Stop: E3 , E8, 195; Address: Boston Manor Road, Brentford, TW8 9JX; Venue short url: https://www.skiddle.com/venues/32480/; Music Policy: Music from the Southern Hemisphere; Dress code: casual; Opening hours: 11am - 10-30pm; Food served: Food from the Southern Hemisphere - Pies, Pizza, Mussels, Braai, Burgers; Parking: Street parking, driving is not encouraged; Nearest Train Station: Brentford Station; "
Wychwood Festival;Friday 3rd - Sunday 5th June 2022;Cheltenham Racecourse in Cheltenham;No age restrictions;"Name: Cheltenham Racecourse; Address: Evesham Road, Prestbury, Cheltenham, GL50 4SH; Phone: 01242226226; Venue short url: https://www.skiddle.com/venues/8690/; Type of venue: Outdoors; "
Download Festival;Friday 10th - Sunday 12th June 2022;Donington Park in Derby;Minimum age: 5;"Name: Donington Park; Address: Castle Donington, Derby, DE74 2RP; Phone: 01332 862 409; Venue short url: https://www.skiddle.com/venues/686/; Type of venue: Live; "
Towerfest Country Music Festival;Thursday 16th - Sunday 19th June 2022;Drax Sports And Social Club in Selby;Minimum age: 18;"Name: Drax Sports And Social Club; Phone: 01757 611309; Venue short url: https://www.skiddle.com/venues/83046/; Music Policy: Country and Linedance; Ambiance: Excellent Outdoor event; Clientele: Country Music Fans; Drinks served: Yes; Disabled facilities: Yes; Nearest Bus Stop: 100 Yards; Address: Drax Power Station, Drax, Selby, YO8 8PJ; Website: http://www.towerfest.co.uk; Capacity: 1500; Type of venue: Outdoors; Dress code: none; Opening hours: 10am to 10pm; Food served: Yes; Parking: On site; Nearest Train Station: Selby; "
Small Test Fest festival;Monday 27th June 2022;Skiddle Ltd   Test in Preston;Minimum age: 18;"Name: Skiddle Ltd   Test; Address: Ashley Hall Farm, Inglewhite Road, Goosnargh, Preston, PR3 2EB; Phone: ; Venue short url: https://www.skiddle.com/venues/103445/; Type of venue: Nightclub; "
Lytham Festival;Wednesday 29th June - Sunday 3rd July 2022;Lytham Green in Lancashire;No age restrictions;"Name: Lytham Green; Address:  Clifton Drive, Lytham St. Annes, Lancashire, FY8 5LB; Phone: ; Venue short url: https://www.skiddle.com/venues/57998/; Type of venue: Outdoors; "
B-Fest Wales festival;Friday 8th - Saturday 9th July 2022;Ty Ucha Farm in Mold;No age restrictions;"Name: Ty Ucha Farm; Phone: 07766833981; Venue short url: https://www.skiddle.com/venues/100452/; Type of venue: Outdoors; Address: Ty Ucha Farm, Pen Y Cefn, Caerwys, Mold, CH7 5BQ; Website: http://bfestwales.co.uk; Capacity: 2000; "
Innervisions Festival;Saturday 16th July 2022;Magazine London  in Greenwich;Minimum age: 14;"Name: Magazine London ; Address: 11 Ordnance Crescent, Greenwich, SE10 0QE; Phone: 020 3892 4181; Venue short url: https://www.skiddle.com/venues/97932/; Type of venue: Nightclub; "
