Марка;Ссылка;Цена в дол;Цена в грн;Город;Состояние;Характеристики;Фото
Citroen Space Tourer 2021;https://auto.ria.com/newauto/auto-citroen-space-tourer-1863852.html;44 828 $;1 220 660 грн;Київ;Живі фото;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C3 2021;https://auto.ria.com/newauto/auto-citroen-c3-1863081.html;20 692 $;563 440 грн;Київ;В наявності;"Бензин 1.2 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863053.html;31 833 $;866 810 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2020;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1855408.html;22 829 $;621 630 грн;Київ;В наявності;"Дизель 1.6 л;Механічна;";Живі фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1863095.html;19 724 $;537 100 грн;Київ;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1863069.html;31 833 $;866 810 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1848794.html;13 835 $;376 740 грн;Київ;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C3 2020;https://auto.ria.com/newauto/auto-citroen-c3-1847929.html;14 744 $;401 480 грн;Київ;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen C5 Aircross 2021;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1861527.html;32 536 $;885 960 грн;Миколаїв;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen C5 Aircross 2020;https://auto.ria.com/newauto/auto-citroen-c5-aircross-1861007.html;30 157 $;821 180 грн;Київ;В наявності;"Дизель 2.0 л;Автомат;Передній привід;";Живі фото
Citroen Berlingo пасс. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-pass-1863084.html;27 351 $;744 780 грн;Київ;В наявності;"Дизель 1.5 л;Автомат;Передній привід;";Живі фото
Citroen C3 2020;https://auto.ria.com/newauto/auto-citroen-c3-1860399.html;14 744 $;401 480 грн;Київ;В наявності;"Бензин 1.2 л;Механічна;Передній привід;";Живі фото
Citroen Berlingo груз. 2021;https://auto.ria.com/newauto/auto-citroen-berlingo-gruz-1863024.html;19 724 $;537 100 грн;Київ;В наявності;"Дизель 1.6 л;Механічна;Передній привід;";Живі фото
Citroen C-Elysee 2020;https://auto.ria.com/newauto/auto-citroen-c-elysee-1863281.html;13 835 $;376 740 грн;Київ;В наявності;"Бензин 1.6 л;Механічна;Передній привід;";Живі фото
