nazwa firmy;adres;www;email;telefony;branże
P.P.U. PRO-EKO-TERM Sp. z o.o.;ul. Żeliwna 4140-852 Katowice;proekoterm.pl;None;['tel./fax (32) 251 67 21'];['Ciepłownictwo, energetyka cieplna', 'Klimatyzacja, wentylacja i chłodnictwo']
Przedsiębiorstwo Energetyki Cieplnej PEC Sp. z o.o.;ul. Słoneczna 182-500 Kwidzyn;None;None;['tel. (055) 279 38 47'];['Ciepłownictwo, energetyka cieplna']
Przedsiębiorstwo Energetyki Cieplnej w Nowym Tomyślu Sp. z o.o.;ul. Komunalna 2664-300 Nowy Tomyśl;www.pecnt.pl;None;['tel. (61) 442 31 81', 'fax (61) 442 31 92'];['Ciepłownictwo, energetyka cieplna']
Stowarzyszenie Energii Odnawialnej;ul. Ogrodowa 59a00-876 Warszawa - Wola;www.seo.org.pl;None;['tel. (022) 433 12 38', 'tel./fax (022) 433 12 39'];['Ciepłownictwo, energetyka cieplna']
Zakład Gospodarki Cieplnej Śląskiego Uniwersytetu Medycznego;ul. Medyków 2a40-752 Katowice;www.zgc.katowice.pl;None;['tel. (32) 252 71 69', 'fax (32) 252 55 77'];['Ciepłownictwo, energetyka cieplna']
Zakład Handlu i Usług JURAND S.c.;ul. Rejtana 985-032 Bydgoszcz;jurandbydgoszcz.pl;None;['tel. (52) 321 62 99'];['Ciepłownictwo, energetyka cieplna']
Vattenfall Business Services Poland Sp. z o.o.;wybrzeże Armii Krajowej 19b44-100 Gliwice;www.vattenfall.pl;None;['tel. (32) 303 03 03', 'fax (32) 303 36 02'];['Energetyka', 'Ciepłownictwo, energetyka cieplna', 'Instalacje elektryczne, urządzenia']
BATPOL;Jazowsko 31833-389 Jazowsko;www.batpol.com;batpol@batpol.com;['tel. (18) 444 72 88'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble ogrodowe', 'Drewniane domy', 'Drzwi', 'Okna', 'Palety - skup, produkcja, sprzedaż', 'Ogrody zimowe', 'Schody, poręcze, balustrady']
Ber-Has Sp. z o.o.;Biernatki 1762-817 Żelazków;www.ber-has.pl;biuro@ber-has.pl;['kom. 510 528 280', 'kom. 510 220 080'];['Drewno, wyroby drewniane i drewnopochodne', 'Materiały budowlane', 'Palety - skup, produkcja, sprzedaż']
DREW-TRANS II Zenon Wrzeszcz i Wspólnicy Sp. z o.o.;ul. Składowa 1289-620 Chojnice;www.drewtrans.pl;marketing@drewtrans.pl;['tel. (52) 397 62 95', 'fax (52) 397 65 49'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble']
DREWBIS Józef Biskup;Białka 27434-220 Maków Podhalański;www.drewbis.pl;biuro@drewbis.pl;['kom. 514 559 345'];['Drewno, wyroby drewniane i drewnopochodne']
DREWBOR Hurtownia płyt;Moszczanka 26848-200 Prudnik;www.drewbor.eu;drewbor2@wp.pl;['tel./fax (77) 436 07 49', 'kom. 603 512 490'];['Drewno, wyroby drewniane i drewnopochodne']
EURO-ASTAR Sp. z o.o.;ul. Kórnicka 3 Czołowo62-035 Kórnik;www.euro-astar.com.pl;centrala@euro-astar.com.pl;['tel. (61) 817 91 00', 'fax (61) 817 91 10'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble ogrodowe', 'Palety - skup, produkcja, sprzedaż']
FIRMA PRODUKCYJNO-HANDLOWA Wojciech Pikusa;Żurowa 15938-247 Ołpiny;www.pikusa.polfirms.eu;w1oo@0P-D|;['tel. (14) 651 83 85', 'kom. 605 243 020'];['Drewno, wyroby drewniane i drewnopochodne', 'Grawerowanie', 'Ozdoby świąteczne', 'Zabawki', 'Opakowania i pojemniki', 'Reklamowe akcesoria, gadżety, upominki']
GRABO Zakłady;Niebocko 11036-207 Grabownica;www.grabo.com.pl;info@grabo.com.pl;['tel. (13) 439 58 71', 'tel. (13) 439 50 97', 'tel. (13) 439 50 98', 'fax (13) 439 50 96'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble', 'Podłogi - parkiety, panele']
NABAGLO Leokadia Nabagło;ul. Kościelna 2232-048 Jerzmanowice;www.rekodzielo.malopolska.pl;None;['kom. 693 271 345', 'tel. (12) 389 50 61'];['Drewno, wyroby drewniane i drewnopochodne', 'Zabawki', 'Rękodzieło, kowalstwo artystyczne', 'Ozdoby świąteczne', 'Upominki, pamiątki']
SPÓLNOTA Drzewna Spółdzielnia Pracy;Białka34-220 Maków Podhalański;www.spolnota.pl;spolnota@spolnota.pl;['tel. (33) 877 15 01', 'tel./fax (33) 877 15 05', 'fax (33) 877 33 84'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble ogrodowe']
VENT Sp.j.;ul. Zakliki z Mydlnik 16d30-198 Kraków - Krowodrza;www.vent.com.pl;vent@vent.com.pl;['tel./fax (12) 636 61 65', 'tel./fax (12) 623 02 65', 'fax (12) 376 83 55'];['Drewno, wyroby drewniane i drewnopochodne', 'Akcesoria meblowe', 'Mała architektura', 'Meble']
DOMINI Produkcja nietypowych palet drewnianych;Rychnowo 3614-106 Szyldak;www.domini.com.pl;domini@domini.com.pl;['kom. 604 234 427', 'fax (89) 641 23 14'];['Drewno, wyroby drewniane i drewnopochodne']
DREWBUK Zakład Obróbki Drewna Wiesław Druzgała;ul. Wawelska 132-410 Dobczyce;www.drewbuk.isg.pl;biuro@drewbuk.isg.pl;['tel. (12) 271 01 60', 'fax (12) 271 27 00', 'kom. 608 516 680'];['Drewno, wyroby drewniane i drewnopochodne']
Drewno Hurt-Detal Sp. z o.o.;ul. Floriańska 2741-500 Chorzów;www.drewnochorzow.pl;drewnokatowice@op.pl;['tel. (32) 241 55 46', 'tel. (32) 241 20 73', 'kom. 606 238 663'];['Drewno, wyroby drewniane i drewnopochodne', 'Akcesoria meblowe', 'Stolarstwo']
JURO-TRANS Jerzy Gadomski;ul. Dworcowa 1258-530 Kowary;www.juro-trans.com.pl;jurotrans@WP-P‘;['tel. (75) 718 25 28', 'fax (75) 718 29 13'];['Drewno, wyroby drewniane i drewnopochodne', 'Tartaki', 'Stacje kontroli pojazdów', 'Warsztaty samochodowe, autoryzowane serwisy', 'Myjnie samochodowe']
PINEA DOMEX Stanisław Sułocha;Sidzina 40134-236 Sidzina;www.domex-drew.pl;biuro@domex-drew.pl;['tel./fax (18) 267 30 87', 'kom. 663 706 070'];['Drewno, wyroby drewniane i drewnopochodne', 'Drewniane domy']
PiPH FIBERWAYS;ul. Ofiar Katynia 4b/2437-700 Przemyśl;www.fiberways.pl;j.gorczak@fiberways.pl;['tel./fax (16) 678 07 07', 'kom. 794 409 394'];['Drewno, wyroby drewniane i drewnopochodne', 'Akcesoria meblowe', 'Handel - międzynarodowy, pośrednictwo', 'Materiały budowlane', 'Meble', 'Opakowania i pojemniki']
Poli Trade Polska Sp. z o.o.;ul. Korfantego 4449-100 Niemodlin;www.fenikspellets.eu;biuro@politrade.pl;['kom. 785 663 455'];['Drewno, wyroby drewniane i drewnopochodne', 'Opałowe materiały', 'Energetyka']
SOLO wyroby z drewna;ul. Mickiewicza 11234-240 Jordanów;firmasolo.pl;biuro@firmasolo.pl;['kom. 608 318 675', 'kom. 600 348 357'];['Drewno, wyroby drewniane i drewnopochodne']
Usługi Stolarsko-Ciesielskie Adam Zając;ul. Księdza Juliana Dębińskiego 1, Dłużyna64-140 Włoszakowice;www.stolarstwo-ciesielstwo.com.pl;biuro@stolarstwo-ciesielstwo.com.pl;['kom. 608 091 583'];['Drewno, wyroby drewniane i drewnopochodne']
Zakład Przetwarzania Drewna EXPORT-IMPORT Gerlach Halina;Wola Jasienicka 6136-220 Jasienica Rosielna;www.podbicia-dachowe.pl;None;['tel. (13) 430 62 03', 'kom. 668 029 284'];['Drewno, wyroby drewniane i drewnopochodne', 'Dachy - materiały i pokrycia dachowe']
TODO Osowski & Gorgoń Sp.j.;ul. Kwiatowa 3789-422 Sypniewo;ntarasy.pl;None;['kom. 530 303 344'];['Drewno, wyroby drewniane i drewnopochodne']
Active;ul. Kolejowa 12405-092 Łomianki;www.20742.pl.all.biz;None;['kom. 507 071 191'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble ogrodowe']
AGRA WOOD Polska;Sosnówiec 188-160 Janikowo;agrawood.pl;None;['kom. 515 127 744', 'kom. 515 127 755'];['Drewno, wyroby drewniane i drewnopochodne']
ARO Sp. z o.o. Sp. komandytowa;ul. Kosynierów 10a66-008 Świdnica;www.puparo.pl;None;['tel. (68) 327 32 70', 'fax (68) 327 34 90'];['Drewno, wyroby drewniane i drewnopochodne']
Cięcie i Wyrób Oklein Naturalnych Paweł Błażutycz;ul. Krotoszyńska 4256-330 Cieszków;www.okleinyblazutycz.pl;None;['kom. 604 882 309'];['Drewno, wyroby drewniane i drewnopochodne']
DC System S.c.;Rybno 1a59-407 Mściwojów;www.dcsys.com.pl;None;['tel. (76) 872 82 01', 'fax (76) 872 85 98'];['Drewno, wyroby drewniane i drewnopochodne']
DEKO DREW Sp.j.;ul. Filaretów 3143-100 Tychy;www.sklejka-osb.pl;None;['tel. (032) 327 47 22', 'tel. (032) 327 37 22'];['Drewno, wyroby drewniane i drewnopochodne']
DEKOMAR Usługi Stolarskie Dekoracyjne Wykańczanie Wnętrz;Niepoczołowice 4884-223 Linia;www.dekomar.net.pl;None;['kom. 507 715 839', 'tel. (58) 676 80 47'];['Drewno, wyroby drewniane i drewnopochodne']
DOBRE MEBLE;ul. Marcelego Nowotki 1266-300 Międzyrzecz;www.meblepiekarek.pl;None;['kom. 505 717 480'];['Drewno, wyroby drewniane i drewnopochodne']
DREW-WARM S.C. Zygmunt Wnuk & Alicja Świokło;Zakrzewiec 1114-500 Braniewo;www.drew-warm.prv.pl;None;['tel. (055) 243 14 94'];['Drewno, wyroby drewniane i drewnopochodne']
DREWCHEM;Pustków 443d39-205 Pustków;drewchem.pl;None;['kom. 695 799 600'];['Drewno, wyroby drewniane i drewnopochodne']
DREWMAX Mirosław Stachacz;ul. Narutowicza 3807-417 Ostrołęka;www.drewmax-ostroleka.pl;None;['tel. (29) 769 06 57', 'kom. 606 373 256'];['Drewno, wyroby drewniane i drewnopochodne']
Drewno Kominkowe Dariusz Krzykowski;ul. Norwida 1211-010 Barczewo;www.drewnoolsztyn.pl;None;['kom. 508 526 225'];['Drewno, wyroby drewniane i drewnopochodne']
DREWNO-REX;Sielec 1a39-120 Sędziszów Małopolski;www.drewnorex.com.pl;None;['tel. (17) 222 69 51', 'tel. (17) 222 69 53', 'fax (17) 222 69 52'];['Drewno, wyroby drewniane i drewnopochodne', 'Drzwi', 'Okna', 'Schody, poręcze, balustrady']
DREWNOTRANS S.c. Jan i Beata Brzoska;ul. Kościuszki 1447-420 Kuźnia Raciborska;www.drewnotrans.pl;None;['tel./fax (032) 410 20 38', 'kom. 604 513 362'];['Drewno, wyroby drewniane i drewnopochodne']
EKO-MAN Mandel Roman;ul. Jagiellońska 2444-153 Sośnicowice;www.eko-man.webpark.pl;None;['tel. (32) 238 77 92', 'kom. 603 549 140'];['Drewno, wyroby drewniane i drewnopochodne', 'Maszyny do obróbki drewna']
F.H.P. DROZDEX Grzegorz Drozd;Izby 2838-315 Izby;None;None;['tel./fax (18) 351 65 63'];['Drewno, wyroby drewniane i drewnopochodne']
F.H.U. DREWNO Waldemar Deneka;ul. Kasprzaka 1a41-303 Dąbrowa Górnicza;www.deneka-drewno.pl;None;['tel. (32) 264 89 45', 'kom. 501 260 778'];['Drewno, wyroby drewniane i drewnopochodne', 'Drzwi', 'Okna', 'Żaluzje, markizy, rolety']
Fabicholz Sp. z o.o. Sp.komandytowa;ul. Kożuchowska 3065-364 Zielona Góra;www.fabicholz.pl;None;['tel. (68) 321 12 94'];['Drewno, wyroby drewniane i drewnopochodne']
FENIX-METAL Sp. z o.o.;ul. Marszałkowska 84/92/3900-514 Warszawa;www.fenix-metal.pl;None;['tel. (22) 621 72 58', 'tel. (22) 629 11 97', 'fax (22) 621 30 80'];['Drewno, wyroby drewniane i drewnopochodne']
Firma JAN;Skoroszów 1955-100 Trzebnica;www.wyrobyzdrewna.omega.pl;None;['kom. 603 360 632'];['Drewno, wyroby drewniane i drewnopochodne']
Firma Martino;os. Konstytucji 3-Maja 3b/1966-100 Sulechów;www.martino-meble.pl;None;['kom. 669 263 716'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble ogrodowe', 'Place zabaw - projektowanie, urządzanie', 'Schody, poręcze, balustrady']
FORMAT Sp. z o.o.;ul. Skórzewska 7362-081 Wysogotowo;www.format.poznan.pl;None;['tel./fax (61) 814 35 06'];['Drewno, wyroby drewniane i drewnopochodne', 'Akcesoria meblowe']
Franciszek Bochnak Firma Przemysłowo-Handlowo-Usługowa;Skawa 6734-713 Skawa;None;None;['kom. 511 044 539'];['Drewno, wyroby drewniane i drewnopochodne']
GARDEN PARK - Sklep Internetowy OGRODOWE.INFO;ul. Słowiańska 1/993-101 Łódź - Górna;ogrodowe.info;None;['kom. 508 214 080'];['Drewno, wyroby drewniane i drewnopochodne', 'Dekoracje, wyposażenie wnętrz']
Handlowo-Produkcyjna Spółdzielnia Pracy WAWRZYN;ul. Kętrzyńska 3511-200 Bartoszyce;www.wawrzyn.ma-alex.kgb.pl;None;['tel./fax (89) 762 21 15', 'tel. (89) 762 30 25', 'kom. 604 958 523'];['Drewno, wyroby drewniane i drewnopochodne']
HOMANIT Krosno Odrzańskie Sp. z o.o.;ul. Gubińska 6366-600 Krosno Odrzańskie;www.homanit.pl;None;['tel. (68) 383 53 01'];['Drewno, wyroby drewniane i drewnopochodne']
Hurtownia BOJAR;ul. Szczęśliwa 2405-092 Łomianki;www.polmedia.com.pl;None;['tel./fax (22) 751 32 37'];['Drewno, wyroby drewniane i drewnopochodne']
IREK Produkcja Drzewna;Czystogarb 438-543 Komańcza;None;None;['kom. 515 102 772', 'kom. 512 094 167'];['Drewno, wyroby drewniane i drewnopochodne', 'Tartaki']
Istpol Sp. z o.o.;ul. Jermakowicza 1216-315 Lipsk;www.listwypcv.pl;None;['tel./fax (85) 742 18 69', 'kom. 606 394 131', 'kom. 606 243 658'];['Drewno, wyroby drewniane i drewnopochodne']
IW mal art;ul. Żmudzka 7685-028 Bydgoszcz;www.iwmalart.republika.pl;None;['tel. (052) 342 81 93', 'kom. 606 916 263', 'kom. 606 916 269'];['Drewno, wyroby drewniane i drewnopochodne', 'Dekoracje, wyposażenie wnętrz', 'Meble', 'Meble kuchenne']
JA-RYS;ul. Skośna 1493-431 Łódź;www.ja-rys.pl;None;['kom. 502 485 090', 'kom. 502 060 803'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble', 'Meble kuchenne', 'Meble biurowe']
K-SYSTEM;ul. Bandurskiego 532-065 Krzeszowice;www.k-system.firehost.pl;None;['kom. 503 010 703', 'tel./fax (12) 282 11 93'];['Drewno, wyroby drewniane i drewnopochodne', 'Okna', 'Drzwi']
Koralewski Julian;ul. Leśna 11 Zasutowo62-330 Nekla;www.nogi-hokeje.unl.pl;None;['tel. (61) 438 68 20', 'kom. 661 918 636'];['Drewno, wyroby drewniane i drewnopochodne']
KOSPAN Sp. z o.o. Sp.komandytowa;ul. Lubliniecka 2842-793 Ciasna;www.kospan.com.pl;None;['tel. (34) 353 54 00', 'tel. (34) 353 55 00', 'tel. (34) 353 56 00'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble', 'Akcesoria meblowe']
Krzysztof Milewski Firma Produkcyjno-Handlowo-Usługowa Sklep Wielobranżowy SOSNA;ul. Nad Uszewką 10 Bucze32-800 Brzesko;www.sklad-sosna.pl;None;['kom. 691 540 642', 'tel./fax (14) 686 87 60'];['Drewno, wyroby drewniane i drewnopochodne']
MAWI - Usługi Stolarskie;Lewiczynek 764-305 Bolewice;www.mawi-stolarz.vfirma.pl;None;['kom. 664 097 948'];['Drewno, wyroby drewniane i drewnopochodne']
MEBLUX;Gorzków 3132-700 Bochnia;www.meblux-bochnia.pl;None;['kom. 600 451 366', 'kom. 881 335 142'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble']
MNIDOM;ul. Grunwaldzka 12084-230 Rumia;www.mnidom.pl;None;['tel./fax (58) 679 43 89', 'kom. 601 652 333', 'kom. 502 264 972'];['Drewno, wyroby drewniane i drewnopochodne']
MOLLA;ul. Podskarbińska 32/3403-829 Warszawa - Praga Południe;www.molla.pl;None;['kom. 601 891 111'];['Drewno, wyroby drewniane i drewnopochodne']
P.P.H.U Stolarstwo M&D;ul. Rolna 11b62-090 Rokietnica;www.meblerokietnica.pl;None;['kom. 609 557 869', 'kom. 607 769 048'];['Drewno, wyroby drewniane i drewnopochodne']
P.P.H.U. Alnus;ul. Młynarska 3605-190 Nasielsk;www.alnus.nasielsk.pl;None;['tel. (23) 693 11 63', 'kom. 509 727 049'];['Drewno, wyroby drewniane i drewnopochodne']
P.P.H.U. H.Witas;ul. Żywiecka 1334-340 Jeleśnia;www.witas-drewno.pl;None;['tel. (33) 863 62 65', 'kom. 605 947 049'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble ogrodowe', 'Drewniane domy']
P.P.H.U. PINUS S.c.;ul. Przybyszewskiego 11993-110 Łódź;None;None;['kom. 605 889 434', 'kom. 601 338 083', 'kom. 605 678 276'];['Drewno, wyroby drewniane i drewnopochodne']
P.P.U.H. MIKABUD;Twardorzeczka 14534-324 Lipowa;www.mikabud.eu;None;['kom. 889 131 662', 'kom. 726 115 181'];['Drewno, wyroby drewniane i drewnopochodne']
Paged Pisz Sp. z o.o.;ul. Kwiatowa 112-200 Pisz;sklejkapaged.pl;None;['tel. (87) 425 48 00', 'fax (87) 425 49 40'];['Drewno, wyroby drewniane i drewnopochodne']
PALDREW Sp.j.;ul. Annopol 3/20603-236 Warszawa - Białołęka;www.paldrew.pl;None;['tel. (22) 814 01 55', 'fax (22) 814 01 40', 'kom. 601 801 355', 'kom. 601 801 355', 'kom. 604 096 166'];['Drewno, wyroby drewniane i drewnopochodne']
PHU IKAR;ul. Wawerska 205-400 Otwock;None;None;['kom. 602 654 865'];['Drewno, wyroby drewniane i drewnopochodne']
PHUP HOBBIT Tomasz Zabór;ul. Cmentarna 6/160-176 Poznań - Grunwald;None;None;['tel. (61) 865 26 81', 'kom. 601 839 513'];['Drewno, wyroby drewniane i drewnopochodne']
Podbitka Naturalnie z Drewna;ul. Polna 1b59-307 Raszówka;www.podbitka.com.pl;None;['kom. 501 222 028'];['Drewno, wyroby drewniane i drewnopochodne']
POLdeck WPC Robert Lulkowicz;ul. Kossaka 10/560-762 Poznań - Grunwald;wpckompozyt.pl;None;['tel. (61) 610 13 59', 'fax (61 610 03 14'];['Drewno, wyroby drewniane i drewnopochodne', 'Tworzywa sztuczne - wyroby, przetwórstwo']
PRACOWNIA STOLARSKA;ul. Słoneczna 7833-100 Tarnów;www.pracownia-stolarska.prv.pl;None;['tel. 600 645 331'];['Drewno, wyroby drewniane i drewnopochodne']
Pracownia Stolarska BURATINO;ul. Lewinowska 43b03-684 Warszawa;www.stolarnia.vixo.pl;None;['kom. 506 035 383', 'kom. 508 778 644'];['Drewno, wyroby drewniane i drewnopochodne']
Pracownia Stolarska ŁĘGOWSKI;ul. Matejki 5443-600 Jaworzno;www.legowski.com.pl;None;['tel. (32) 753 03 95', 'kom. 501 369 037'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble', 'Schody, poręcze, balustrady']
Pracownia Stolarska Paweł Ochman;ul. Rólki 44a34-130 Kalwaria;www.ochmanmeble.transfer.pl;None;['tel. (033) 876 61 55', 'kom. 604 223 134'];['Drewno, wyroby drewniane i drewnopochodne']
Pracownia Stolarska Szymon Grygiel;Aleksandrów 562-831 Korzeniew;www.stolarstwo-grygiel.pl;None;['kom. 695 079 318'];['Drewno, wyroby drewniane i drewnopochodne']
Produkcja Stolarki HOLZ Pasja;ul. Słowackiego 41/274-400 Dębno;www.pasja-holz.com;None;['tel. (95) 769 08 18', 'kom. 503 865 583'];['Drewno, wyroby drewniane i drewnopochodne', 'Okna', 'Drzwi', 'Żaluzje, markizy, rolety', 'Schody, poręcze, balustrady']
Produkcja Uli Piotr Tumidajewicz;Załawie 68/138-340 Biecz;www.uletumidajewicz.pl;None;['tel. (13) 441 00 01', 'kom. 508 394 121'];['Drewno, wyroby drewniane i drewnopochodne']
RAM IT;ul. Krakowska 128-330 Wodzisław;www.ram-it.pl;None;['kom. 696 842 255'];['Drewno, wyroby drewniane i drewnopochodne']
RZAZ Usługi Stolarskie;ul. Witosa 2676-251 Kobylnica;www.rzaz.otobiznes.pl;None;['kom. 693 285 322'];['Drewno, wyroby drewniane i drewnopochodne']
Serwis Drzewny S.c.;ul. Poznańska 19405-850 Ożarów Mazowiecki;www.serwisdrzewny.pl;None;['tel./fax (22) 721 38 66'];['Drewno, wyroby drewniane i drewnopochodne']
Sklep-Drewno;ul. Zabrzańska 12341-907 Bytom;www.sklepdrewno.w.interia.pl;None;['tel. (32) 280 83 35'];['Drewno, wyroby drewniane i drewnopochodne']
SKŁAD DREWNA;ul. Mieszka I 11435-308 Rzeszów;www.rzeszow.drewnoopalowe.net;None;['kom. 693 211 944'];['Drewno, wyroby drewniane i drewnopochodne']
SKŁAD DREWNA EDWARD KUBECKI;al. Krakowska 210a05-551 Łazy;www.drewnokubecki.pl;None;['tel. (22) 757 95 81', 'kom. 602 476 553'];['Drewno, wyroby drewniane i drewnopochodne']
Skład Drzewny;ul. Piłsudskiego 31a72-300 Gryfice;None;None;['kom. 500 111 137', 'kom. 500 702 884'];['Drewno, wyroby drewniane i drewnopochodne', 'Tartaki']
STOL-MAR STOLARSTWO Stanisław Szłapka;ul. Kościelna 7 Konojad64-060 Wolkowo;www.stolmarstolarstwo.entro.pl;None;['kom. 602 477 039'];['Drewno, wyroby drewniane i drewnopochodne']
Stolarski Zakład Produkcyjno-Handlowy Ryszard Żołyniak;Pełkinie 15337-511 Wólka Pełkińska;www.stolarnia.zolyniak.com.pl;None;['tel. (16) 622 42 28', 'kom. 660 734 097'];['Drewno, wyroby drewniane i drewnopochodne']
STOLARSTWO Adrian Grzesik;ul. Ligonia 747-400 Racibórz;www.stolarstwogrzesik.com;None;['tel./fax (32) 415 31 52', 'kom. 502 633 894'];['Drewno, wyroby drewniane i drewnopochodne']
STOLARSTWO Henryk Skiba;ul. Grunwaldzka46-100 Namysłów;www.stolarstwoskiba.euroadres.pl;None;['tel. (62) 781 61 17'];['Drewno, wyroby drewniane i drewnopochodne']
Stolarstwo i Cyklinowanie PFEIFFER;ul. Młyńska 1744-153 Kozłów;www.stolarstwo.dzs.pl;None;['kom. 691 019 624'];['Drewno, wyroby drewniane i drewnopochodne']
STOLARSTWO import-export Wojciech Plata-Gryl;ul. Świętopełka 6/489-600 Chojnice;www.stolarstwo-chojnice.pl;None;['tel./fax (52) 398 72 86', 'kom. 608 601 013'];['Drewno, wyroby drewniane i drewnopochodne']
Stolarstwo Jacek Białoń;Klikuszowa 15734-404 Klikuszowa;www.jacek.klikuszowa.com;None;['tel./fax (18) 265 15 12', 'kom. 609 552 645'];['Drewno, wyroby drewniane i drewnopochodne']
Stolarstwo Usługi i Montaż Andrzej Piotrkowicz;ul. Nadmeńska 7c05-230 Kobyłka;www.stolarnia-piotrkowicz.com.pl;None;['kom. 666 044 200', 'tel. (22) 786 29 05'];['Drewno, wyroby drewniane i drewnopochodne']
Stolarstwo Usługowo-Produkcyjno-Handlowe Marian Krawiec;ul. Wolności 2946-090 Popielów;www.mar-kraw.pl;None;['kom. 608 635 795', 'tel. (77) 469 28 18'];['Drewno, wyroby drewniane i drewnopochodne']
Stolarstwo Waldemar Miernicki;ul. Księżycowa 7601-934 Warszawa - Bielany;None;None;['tel. (22) 811 16 43', 'kom. 509 295 893'];['Drewno, wyroby drewniane i drewnopochodne']
STOLARSTWO Waldemar Żukowski;ul. Włókniarzy 358-260 Bielawa;www.stolarstwo888.webpark.pl;None;['tel. (74) 833 77 24', 'kom. 507 519 479'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble']
STOLARSTWO Wiesław Pilch;ul. Polna 443-460 Wisła;None;None;['tel. (33) 855 27 26', 'kom. 507 170 373'];['Drewno, wyroby drewniane i drewnopochodne']
Stolarstwo-Ciesielstwo Zbigniew Walter;ul. Koźmińska 10263-700 Krotoszyn;www.walterciesielstwo.republika.pl;None;['kom. 509 976 520'];['Drewno, wyroby drewniane i drewnopochodne']
STOLMAN Usługi Stolarsko-Montażowe Artur Manuszewski;ul. Żwirki 4183-110 Tczew;www.stolmanmeble.pl;None;['kom. 692 432 731'];['Drewno, wyroby drewniane i drewnopochodne', 'Stolarstwo']
STOLMAT S.c.;ul. Wspólna 945-831 Opole;www.stolmat.net;None;['tel./fax (77) 474 28 97'];['Drewno, wyroby drewniane i drewnopochodne']
STOLMAX Sylwester Drabik;Tarnawa Dolna 19134-210 Zembrzyce;www.stolmax.pl;None;['tel. (033) 874 62 05', 'kom. 605 307 280'];['Drewno, wyroby drewniane i drewnopochodne']
Tartak UPH WALDREW Waldemar Ludwiniak;Turze 5505-326 Poświętne;www.waldrew.prv.pl;None;['tel. (25) 752 04 90', 'kom. 509 766 358'];['Drewno, wyroby drewniane i drewnopochodne', 'Tartaki']
TERLECH;ul. Jana Cybisa 313-200 Działdowo;www.terlech.tnb.pl;None;['kom. 516 180 949'];['Drewno, wyroby drewniane i drewnopochodne']
Usługi Stolarskie Bogdan Wyrwas;Trzebnice 19b59-140 Chocianów;www.u-bogdana.pl;None;['kom. 783 815 145', 'kom. 667 498 813'];['Drewno, wyroby drewniane i drewnopochodne']
Usługi Stolarskie DECHA;ul. Piaseczyńska 1105-555 Prace Małe;www.uslugi-stolarskie.com.pl;None;['kom. 509 123 203'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble']
Usługi Stolarskie i Pogrzebowe Marcin Wawerek;ul. Gęsia 2821-306 Czemierniki;www.wawerek.pl;None;['kom. 604 061 959', 'tel. (83) 351 31 84'];['Drewno, wyroby drewniane i drewnopochodne', 'Usługi pogrzebowe']
Usługi Stolarskie Józef Oksztel;ul. Szmaragdowa 1715-157 Białystok;www.oksztel.pl;None;['tel. (85) 676 24 61'];['Drewno, wyroby drewniane i drewnopochodne', 'Meble']
Usługi Stolarskie Karol Gzowski;Miszewko Strzałkowskie 7c09-472 Słupno;www.gzowski.pl;None;['kom. 609 882 639'];['Drewno, wyroby drewniane i drewnopochodne', 'Schody, poręcze, balustrady']
Usługi Stolarskie Łukasz Gostkowski;ul. Majkowskiego 883-322 Stężyca;www.stolarz-kaszuby.pl;None;['kom. 504 360 846', 'tel. (58) 684 33 87'];['Drewno, wyroby drewniane i drewnopochodne']
Warsztat Stolarski HAJDUK MARCIN;ul. Dojazdowa 24 Gardawice43-180 Orzesze;www.stol-mar.republika.pl;None;['tel. (32) 221 50 86', 'kom. 509 462 272', 'kom. 696 477 355', 'fax (32) 326 38 60'];['Drewno, wyroby drewniane i drewnopochodne']
WĘGLO-DREW;ul. Kalinowice 9022-400 Zamość;www.weglo-drew.com;None;['tel. (84) 616 70 80', 'kom. 530 616 161'];['Drewno, wyroby drewniane i drewnopochodne', 'Opałowe materiały', 'Budowlany kamień i kruszywa']
Włocławskie Przedsiębiorstwo Produkcyjno-Handlowe FOREST Sp. z o.o.;ul. Spokojna 1487-800 Włocławek;www.forest.q4.pl;None;['tel./fax (54) 233 35 72', 'kom. 603 768 015', 'kom. 603 768 014', 'kom. 661 919 836'];['Drewno, wyroby drewniane i drewnopochodne']
WOOD STYL;ul. Krzywoustego 14/858-160 Świebodzice;www.stylwood.pl;None;['kom. 888 875 076', 'kom. 605 489 602'];['Drewno, wyroby drewniane i drewnopochodne']
